消息,日期
"wxid_ucdipw7drhen12:
@所有人
看到了消息不报名回复一下：大又，双龙，申，伦比赛，开泉 光，男。晖

已回复：
8月31日周六晚上21：00
地点：八中彪马场
球衣：白色新球衣
对手:一中德国
确认参加人员如下：
1浩
2柳高峰
3柳高笛
4佳
5北纬
6表弟
7末
8尬
9
10哲
11.锋
12光",8.31
"fdy545907316:
@所有人

看到了消息不报名回复一下：
已回复：雷，浩。晖，大又，表弟，锋，末
9月3日周二晚上21：00
地点：文昌123
球衣：红色
对手:快乐
确认参加人员如下：
1申
2光
3勋
4开泉
5快乐足球，北纬[机智]
6李哥
7哲",9.3
"wxid_abxohe4bac4x21:
@所有人
看到了消息不报名回复一下：
已回复：开泉。晖上班，双龙 大又
9月7日周六晚上21：00
地点：三柳1号
球衣：白色
对手:魔鬼足球啊磊
确认参加人员如下：
1申
2光
3北纬
4浩
5尬（守门）
6佳
7哲
8表弟
9七七
10猴哥
11末
12阿文
13",9.7
"wxid_abxohe4bac4x21:
@所有人
@所有人
中秋大战
看到了消息不报名回复一下：
已回复:双龙 大又 佳打比赛
9月11日周三晚上21：00
地点：八中阿迪
球衣：白色
对手:最强の家庭教师OA
确认参加人员如下：
1申
2光
3北纬
4开泉
5浩
6锋
7哲
8阿政
9末
10柳高笛哥
11五建黄总
12啊根",9.11
"qqparco:
@所有人
9月14日周六晚上21：00
小AB，120/80
地点：磨滩3
球衣：白色
对手:拉堡豪门队
确认参加人员如下：
1申
2浩
3根
4漆柒1
5哲
6七七2
7北纬
8哲友1
9哲友2",9.14
"zhang_ling-zl:
@所有人
看到了消息不报名回复一下：
已回复:   锋，伦，
9月18日周三晚上21：00
地点：磨滩
球衣：白色
对手:社冲青年
确认参加人员如下：
1申
2光
3浩
4开泉
5
6
7哲
8
9
10",9.18
"wxid_abxohe4bac4x21:
@所有人
@所有人
看到了消息不报名回复一下：
已回复:  
9月19日周四晚上21：00
地点：八中耐克
球衣：红色
对手:杆洞米兰
确认参加人员如下：
1申
2光
3开泉
4铁卫猴哥
5浩
6锋
7哲
8末
9北纬
10政
11冰哥待定",9.19
"wxid_abxohe4bac4x21:

看到了消息不报名回复一下：
已回复:  开泉。晖，表弟（加班）大又（有课）
9月22日周日晚上21：00
地点：三柳2号
球衣：白色
对手:C队
确认参加人员如下：
1北纬
2宜州坎特：霸王全
3光
4柳高理科探花：笛
5浩
6根
7哲
8末
9锋
10公安威廉
11猴妹夫",9.22
"wkq171268332:
@所有人
@所有人
@所有人
轮换制度上线，保证每个球员30分钟以上出场时间
看到了消息不报名回复一下：
已回复:  北纬 佳 末，伦
9月25日周三晚上21：00
地点：三柳二号[红包]
球衣：红色??
对手:杆洞米兰
确认参加人员如下：
1申
2浩
3光
4工头刘哥
5锋
6t
7哲
8阿源
9开泉 
10
11表弟",9.25
"qqparco:
@所有人

看到了消息不报名回复一下：
已回复:  申伤 光，开泉(伤)  伦（待） 大又（课）佳（夜班）侯融容（值班）晖夜班，文男（河池供应商会，今晚赶车出发）哲（??软）
9月28日周六晚上21：00
地点：文昌二号场
球衣：白色??
对手:国药??
确认参加人员如下：
1北纬
2浩
3
4阿源
5全
6末
7表弟朋友
8锋
9雷
10雷朋友
11表弟",9.28
"zhang_ling-zl:
@所有人
@所有人
@所有人

看到了消息不报名回复一下：
已回复:  申掰  哲（家中有事），侯哥（还在老家[捂脸]），开泉 大又，末
，表弟（今晚加班）伦（马工）
10月4日9点
地点：亿雷特1号
球衣：白色??
对手:亿雷特老板队
确认参加人员如下：
1佳
2浩
3北纬
4阿鲁巴+7
5光
6锋（晚到）
7
8
9",10.4
"qqparco:
@所有人
140-60大战来袭
看到了消息不报名回复一下：
已回复:  申掰  开泉，末待定。晖明天中班，伦马工，侯哥值班，锋，雷
10月7日9点
地点：磨滩2号场
球衣：白色??
对手:超人不会飞——伍贰零就教他们怎么飞
140-60
确认参加人员如下：
1浩
2佳
3北纬
4末
5政
6源
7哲
8柳高笛
9光 
10全哥
11表弟
12表友",10.7
"chen_we1:
@所有人
120-60大战来袭
看到了消息不报名回复一下：
已回复:  哲（朋友夜宵店开张）表弟 挨加班
10月12日9点
地点：八中耐克场
球衣：白色??
对手:七龙珠
120-60
确认参加人员如下：
1申
2北纬
3佳
4浩
5开泉
6T
7大又
8末
9光
10侯哥
11阿源
12
封贴",10.12
"wkq171268332:
@所有人
@所有人
复仇杆洞之战盘口主-4.5球
看到了消息不报名回复一下：
已回复: 小T（伤）佳伤停，浩待定
10月15日周二9点
地点：三柳2号??
球衣：红色????????
对手:杆洞米兰
70-90
确认参加人员如下：
1申
2大又
3光
4源
5末
6北纬
7哲
8浩
9锋（晚到）
10表弟（待定）
11开泉",10.15
"zhang_ling-zl:
@所有人


看到了消息不报名回复一下：
已回复: 锋 又
10月20日周日9点??

地点：磨滩1号????

球衣：白色??????
对手:11冶[皱眉]
确认参加人员如下：
1申
2浩
3光
4开泉
5北纬
6佳恢复看jio跑得咩
7哲   （待定 [捂脸]）
8根
9啊磊 守门员
10侯哥
11 末
12源
13伦（晚点）",10.2
"qqparco:
@所有人
珍惜享受巅峰北纬时代带给伍贰零连胜的快感??
看到了消息不报名回复一下：
已回复: 申，光恢复 T加班，伦比赛，晖上班
10月26日周六9点??

地点：三柳2号????

球衣：白色??????
对手:啊鸣之队
确认参加人员如下：
1开泉
2哲
3浩
4佳（培训晚到）
5末
6大又
7锋
8北纬(伤愈)
9表弟（晚到）
10侯哥（晚点到）
11政",10.26
"@所有人

战西鹅村地头蛇钩机老板队??
看到了消息不报名回复一下：
已回复: 光 马工 佳考试 大又出活动 开泉
10月30日周三9点??

地点：八中安德玛

球衣：红红红红红红红红红红红红红红红红红红红红
对手:西鹅村地头蛇U35-U40
确认参加人员如下：
1浩
2申
3伦
4伦2
5伦3
6伦4
7哲
8伦5
9末待定
10伦6
11表弟（待定）
12北纬
13小t",10.3
"qqparco:
@所有人
@所有人
@所有人

看到了消息不报名回复一下，
已回复: 佳部门比赛，表弟 ，开泉，大又上课
11月5日周二9点??

地点：三柳1号

球衣：红红红红红红红红红红红红红红红红红红红红
对手:杆洞复仇
确认参加人员如下：
1申
2门妖
3浩（晚到）
4
5光
6末
7哲
8锋
9
10北纬",11.5
"wxid_2wl9fa33kag912:
@所有人
看到了消息不报名回复一下，
已回复: 伦比赛，开泉有事，阿源特殊时期 大又上课，侯哥加班
11月9日周六9点??

地点：三柳2号??
对手: 合体队

球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申
2耗子
3洵
4柯
5佳
6妖
7哲
8末
9光
10北纬
11锋",11.9
"weize-veo:
@所有人
@所有人
看到了消息不报名回复一下，
已回复: 
11月16日周6九点??

地点：三柳2号??
对手: 三柳之魔

球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申
2北纬
3浩
4洵
5佳
6
7哲
8
9
10
11",11.16
"weize-veo:
@所有人
@所有人
@所有人
看到了消息不报名回复一下，
已回复: t加班，开泉
11月19日周2九点??

地点：八中安德玛
八中安德玛
八中安德玛
八中安德玛
八中安德玛

八中安德玛
八中安德玛
对手: 柳州阿森纳
120-60
球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申
2佳
3浩
4洵
5大又
6光
7哲  （晚点）
8妖
9末
10北纬
11锋（晚到）",11.19
"wkq171268332:
@所有人
@所有人
看到了消息不报名回复一下，
已回复: 妖出差 t、锋、开泉
11月24日周日九点??

地点：三柳2号
对手: 啊c之队
球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申
2浩
3佳
4洵(待定)
5光
6伦（待）
7哲
8大又
9北纬
10末
11表弟
12吴健
13健友",11.24
"zhang_ling-zl:
看到了消息不报名回复一下，
已回复: 开泉，锋，末
11月27日周三九点??

地点：三柳1号
对手: 吉悦集团
球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申
2伦（晚）
3佳
4浩
5洵
6大鹏
7哲
8上善若水
9表弟（啦啦队）
10U17少年
11北纬
12U17少年2",11.27
"看到了消息不报名回复一下，
已回复: 开泉 大又 伦，锋
12月1日周日九点??

地点：三柳2
对手: 掰脚东
球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申(拉货晚点)
2妖
3浩
4佳
5洵
6辉
7 哲
8北纬2场
9
10
11末
12",12.1
"weize-veo:
@所有人
看到了消息不报名回复一下，
已回复: 佳有事 伦 北纬有11人制比赛 大又有课
12月4日周三九点??

地点：三柳3
对手: 莫文重剑
球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申
2门妖
3开泉
4浩
5光
6伟哥
7 
8上善若水
9洵
10末
11锋
12",12.4
"mozichow:
@所有人
@所有人
看到了消息不报名回复一下，
已回复:大又出差南宁，伦比赛，开泉有事，观战
12月7日周六九点??

地点：三柳3
对手: 新蓝色海洋
球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申(感冒待定)
2浩
3佳
4北纬
5光
6妖
7哲
8洵
9
10侯哥
11",12.7
"wxid_ucdipw7drhen12:
@所有人
@所有人
@所有人

看到了消息不报名回复一下，
已回复:
12月11日周3九点??

地点：三柳3
对手: 墨文重剑
球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申
2光
3浩
4洵
5伦（待）
6锋
7哲
8上善若水
9北纬
10末
11开泉
13表弟",12.11
"wxid_abxohe4bac4x21:
@所有人
看到了消息不报名回复一下，
已回复: 妖已工伤，t打架
11月13日周3九点??

地点：三柳2号??
对手: 三柳老炮儿

球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申
2耗子
3光
4开泉
5佳
6胡尔克
7哲
8末
9锋
10北纬(待定)
11啊洵
12根 
13勋
14表弟",11.13
"wkq171268332:
@所有人
@所有人

看到了消息不报名回复一下，
已回复:锋（待定）T加班
12月14日周6九点??

地点：三柳2
对手: 柳江阿鲁巴
球衣：红红红红??
红红红红
红????

确认参加人员如下：
1
2
3浩
4洵
5佳
6开泉(晚到)
7哲  （待定）
8北纬
9光
10上善若水
11",12.14
"qqparco:
@所有人
@所有人
@所有人
看到了消息不报名回复一下，
已回复:大又外出，
12月18日周3九点??

地点：三柳3
对手: 兴柳资产(比赛队)
球衣：红红红红红红
红红红红红红
红红红红红红????

确认参加人员如下：
1申
2洵
3浩
4佳
5光
6哲
7末
8源
9北纬
10开泉",12.18
"@所有人
看到了消息不报名回复一下，
妖有事
已回复:伦 光，锋，末受伤
12月21日周6九点??

地点：文昌5
对手:战友情 (强队)
球衣：白白白白白白
白白白白白白白
白白白白白白白????

确认参加人员如下：
1申
2哲
3佳
4浩
5北纬
6洵
7开泉
8
9
10
11",12.21
,
,
,
"wxid_ucdipw7drhen12:
@所有人
眨眼间，伍贰零即将迎来属于我们盛大的半周年庆典，为庆祝伍贰零足球队成立半周年，球队决定举行半周年晚宴及颁奖仪式，饭后举行「爱心之夜」趴，希望能参加的队友尽量报名
时间：11月23日周六晚7：30开场
地点：晚宴暂定顺水湾驾鹤总店，「爱心之夜」暂定谷埠街佰迪乐KTV
报名：
1浩    
2哲
3申
4妖
5佳
6锋
7开泉
8洵
9末
10阿根
11表弟
12t
13
14大又
15
16",11.23
"hwn120168155:
阿辉赞助周末比赛的饮料，大家踊跃报名
看到了消息不报名回复一下，
已回复：
7月28日周日晚上21：00
地点：三柳2号
球衣：白色新球衣
确认参加人员如下：
1，申(观众)
2，晖(观众)
3，伍
4。哲
5，光
6，北纬
7末
8，锋（晚到）
9大又
10开泉
11勋                                            12表弟
13.文男（观众，用无人机拍点照录点像）
14伦",7.28
,
"wxid_abxohe4bac4x21:
110-50全力以赴把昨天没有用的力全部释放
看到了消息不报名回复一下：
已回复: 大又出活动[捂脸] T去对面，锋
11月2日周六9点??

地点：三柳2号

球衣：白白白白白白白白白白白白白白白白白白白白白白白白白白白
对手:门妖食堂
确认参加人员如下：
1申
2浩
3光
4佳
5开泉
6哲
7末
8磊
9北纬
10侯哥
11源
12源同事",11月2日
"wxid_abxohe4bac4x21:
@所有人
看到了消息不报名回复一下，
已回复: 妖已工伤，t打架
11月13日周3九点??

地点：三柳2号??
对手: 三柳老炮儿

球衣：白白白白白白白白白白白白白??????

确认参加人员如下：
1申
2耗子
3光
4开泉
5佳
6胡尔克
7哲
8末
9锋
10北纬(待定)
11啊洵
12根 
13勋
14表弟",11月13日
